"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 18:07:20 UYT 2019","Thu Jun 06 18:07:25 UYT 2019","4726","","MiaUnoTest","","MiaUnoTest","b_pruebaDos","b_pruebaDos()",""
"passed","Fri Jun 07 10:10:27 UYT 2019","Fri Jun 07 10:10:32 UYT 2019","4490","","MiaUnoTest","","MiaUnoTest","t1_pruebaUno","t1_pruebaUno()",""
"passed","Fri Jun 07 10:04:49 UYT 2019","Fri Jun 07 10:04:55 UYT 2019","5549","","MiaUnoTest","","MiaUnoTest","pruebaTres","pruebaTres()",""
"passed","Fri Jun 07 10:10:22 UYT 2019","Fri Jun 07 10:10:27 UYT 2019","4552","","MiaUnoTest","","MiaUnoTest","t1_pruebaDos","t1_pruebaDos()",""
"passed","Fri Jun 07 09:38:08 UYT 2019","Fri Jun 07 09:38:13 UYT 2019","5642","","MiaUnoTest","","MiaUnoTest","t2_pruebaTres","t2_pruebaTres()",""
"broken","Fri Jun 07 09:43:18 UYT 2019","Fri Jun 07 09:43:18 UYT 2019","22","","MiaUnoTest","","MiaUnoTest","t_pruebaDos","t_pruebaDos()",""
"passed","Fri Jun 07 10:04:06 UYT 2019","Fri Jun 07 10:04:11 UYT 2019","5608","","MiaUnoTest","","MiaUnoTest","t3_pruebaTres","t3_pruebaTres()",""
"passed","Fri Jun 07 09:43:13 UYT 2019","Fri Jun 07 09:43:18 UYT 2019","5532","","MiaUnoTest","","MiaUnoTest","t_pruebaTres","t_pruebaTres()",""
"passed","Fri Jun 07 09:33:33 UYT 2019","Fri Jun 07 09:33:37 UYT 2019","4601","","MiaUnoTest","","MiaUnoTest","t5_pruebaDos","t5_pruebaDos()",""
"broken","Fri Jun 07 09:43:18 UYT 2019","Fri Jun 07 09:43:18 UYT 2019","14","","MiaUnoTest","","MiaUnoTest","t_pruebaUno","t_pruebaUno()",""
"passed","Fri Jun 07 10:10:32 UYT 2019","Fri Jun 07 10:10:37 UYT 2019","5605","","MiaUnoTest","","MiaUnoTest","t5_pruebaTres","t5_pruebaTres()",""
"broken","Fri Jun 07 10:07:31 UYT 2019","Fri Jun 07 10:07:31 UYT 2019","25","","MiaUnoTest","","MiaUnoTest","t2_pruebaDos","t2_pruebaDos()",""
"broken","Thu Jun 06 18:07:25 UYT 2019","Thu Jun 06 18:07:25 UYT 2019","36","","MiaUnoTest","","MiaUnoTest","a_pruebaUno","a_pruebaUno()",""
"broken","Thu Jun 06 18:07:25 UYT 2019","Thu Jun 06 18:07:25 UYT 2019","15","","MiaUnoTest","","MiaUnoTest","c_pruebaTres","c_pruebaTres()",""
